UF;Municipio;Codigo_TOM_SERPRO;cod_IBGE
RS;ACEGUA;1118;4300034
RS;AGUA SANTA;8499;4300059
RS;AGUDO;8501;4300109
RS;AJURICABA;8503;4300208
RS;ALECRIM;8505;4300307
RS;ALEGRETE;8507;4300406
RS;ALEGRIA;8497;4300455
RS;ALMIRANTE TAMANDARE DO SUL;1120;4300471
RS;ALPESTRE;8509;4300505
RS;ALTO ALEGRE;8495;4300554
RS;ALTO FELIZ;6045;4300570
RS;ALVORADA;8511;4300604
RS;AMARAL FERRADOR;8493;4300638
RS;AMETISTA DO SUL;5969;4300646
RS;ANDRE DA ROCHA;8491;4300661
RS;ANTA GORDA;8513;4300703
RS;ANTONIO PRADO;8515;4300802
RS;ARAMBARE;5779;4300851
RS;ARARICA;0952;4300877
RS;ARATIBA;8517;4300901
RS;ARROIO DO MEIO;8519;4301008
RS;ARROIO DO PADRE;1122;4301073
RS;ARROIO DO SAL;8489;4301057
RS;ARROIO DO TIGRE;8523;4301206
RS;ARROIO DOS RATOS;8521;4301107
RS;ARROIO GRANDE;8525;4301305
RS;ARVOREZINHA;8527;4301404
RS;AUGUSTO PESTANA;8529;4301503
RS;AUREA;8487;4301552
RS;BAGE;8531;4301602
RS;BALNEARIO PINHAL;0954;4301636
RS;BARAO;8485;4301651
RS;BARAO DE COTEGIPE;8533;4301701
RS;BARAO DO TRIUNFO;5771;4301750
RS;BARRA DO GUARITA;6069;4301859
RS;BARRA DO QUARAI;0956;4301875
RS;BARRA DO RIBEIRO;8537;4301909
RS;BARRA DO RIO AZUL;5959;4301925
RS;BARRA FUNDA;5943;4301958
RS;BARRACAO;8535;4301800
RS;BARROS CASSAL;8539;4302006
RS;BENJAMIN CONSTANT DO SUL;0958;4302055
RS;BENTO GONCALVES;8541;4302105
RS;BOA VISTA DAS MISSOES;5981;4302154
RS;BOA VISTA DO BURICA;8543;4302204
RS;BOA VISTA DO CADEADO;1124;4302220
RS;BOA VISTA DO INCRA;1126;4302238
RS;BOA VISTA DO SUL;0960;4302253
RS;BOM JESUS;8545;4302303
RS;BOM PRINCIPIO;9823;4302352
RS;BOM PROGRESSO;6071;4302378
RS;BOM RETIRO DO SUL;8547;4302402
RS;BOQUEIRAO DO LEAO;8483;4302451
RS;BOSSOROCA;8549;4302501
RS;BOZANO;1128;4302584
RS;BRAGA;8551;4302600
RS;BROCHIER;8449;4302659
RS;BUTIA;8553;4302709
RS;CACAPAVA DO SUL;8555;4302808
RS;CACEQUI;8557;4302907
RS;CACHOEIRA DO SUL;8559;4303004
RS;CACHOEIRINHA;8561;4303103
RS;CACIQUE DOBLE;8563;4303202
RS;CAIBATE;8565;4303301
RS;CAICARA;8567;4303400
RS;CAMAQUA;8569;4303509
RS;CAMARGO;8447;4303558
RS;CAMBARA DO SUL;8571;4303608
RS;CAMPESTRE DA SERRA;6013;4303673
RS;CAMPINA DAS MISSOES;8573;4303707
RS;CAMPINAS DO SUL;8575;4303806
RS;CAMPO BOM;8577;4303905
RS;CAMPO NOVO;8579;4304002
RS;CAMPOS BORGES;8445;4304101
RS;CANDELARIA;8581;4304200
RS;CANDIDO GODOI;8583;4304309
RS;CANDIOTA;6083;4304358
RS;CANELA;8585;4304408
RS;CANGUCU;8587;4304507
RS;CANOAS;8589;4304606
RS;CANUDOS DO VALE;1130;4304614
RS;CAPAO BONITO DO SUL;1132;4304622
RS;CAPAO DA CANOA;8915;4304630
RS;CAPAO DO CIPO;1134;4304655
RS;CAPAO DO LEAO;8973;4304663
RS;CAPELA DE SANTANA;8443;4304689
RS;CAPITAO;6025;4304697
RS;CAPIVARI DO SUL;0962;4304671
RS;CARAA;0964;4304713
RS;CARAZINHO;8591;4304705
RS;CARLOS BARBOSA;8593;4304804
RS;CARLOS GOMES;5961;4304853
RS;CASCA;8595;4304903
RS;CASEIROS;8441;4304952
RS;CATUIPE;8597;4305009
RS;CAXIAS DO SUL;8599;4305108
RS;CENTENARIO;5963;4305116
RS;CERRITO;0966;4305124
RS;CERRO BRANCO;8439;4305132
RS;CERRO GRANDE;8437;4305157
RS;CERRO GRANDE DO SUL;8435;4305173
RS;CERRO LARGO;8601;4305207
RS;CHAPADA;8603;4305306
RS;CHARQUEADAS;8693;4305355
RS;CHARRUA;5965;4305371
RS;CHIAPETTA;8605;4305405
RS;CHUI;0968;4305439
RS;CHUVISCA;0970;4305447
RS;CIDREIRA;8433;4305454
RS;CIRIACO;8607;4305504
RS;COLINAS;6029;4305587
RS;COLORADO;8609;4305603
RS;CONDOR;8611;4305702
RS;CONSTANTINA;8613;4305801
RS;COQUEIRO BAIXO;1136;4305835
RS;COQUEIROS DO SUL;5945;4305850
RS;CORONEL BARROS;6055;4305871
RS;CORONEL BICACO;8615;4305900
RS;CORONEL PILAR;1138;4305934
RS;COTIPORA;8977;4305959
RS;COXILHA;5797;4305975
RS;CRISSIUMAL;8617;4306007
RS;CRISTAL;8431;4306056
RS;CRISTAL DO SUL;0972;4306072
RS;CRUZ ALTA;8619;4306106
RS;CRUZALTENSE;1140;4306130
